"nazwa","norad","konstelacja","inklinacja","ekscentrycznosc","obiegi_na_dobe","wysokosc_km","okres_min","typ_orbity"
"STARLINK-34522",64492,"Starlink",53.16,9.95e-05,15.344,469.8,93.8,"LEO"
"STARLINK-34579",64925,"Starlink",53.16,9.8e-05,15.3441,469.8,93.8,"LEO"
"STARLINK-34740",64941,"Starlink",97.28,0.0002368,15.0565,556.6,95.6,"LEO"
"STARLINK-34907",65213,"Starlink",53.16,0.0002078,15.3442,469.8,93.8,"LEO"
"STARLINK-35127",65639,"Starlink",53.16,0.0001316,15.3441,469.8,93.8,"LEO"
"STARLINK-35136",65537,"Starlink",97.29,0.0001087,15.3349,472.5,93.9,"LEO"
"STARLINK-35217",65627,"Starlink",53.16,0.0001459,15.3437,469.9,93.8,"LEO"
"STARLINK-35273",65805,"Starlink",97.29,0.0001977,15.1039,542.2,95.3,"LEO"
"STARLINK-35307",66013,"Starlink",53.16,8.07e-05,15.3441,469.8,93.8,"LEO"
"STARLINK-35450",65868,"Starlink",53.16,0.0001448,15.344,469.8,93.8,"LEO"
"STARLINK-35463",66463,"Starlink",43,0.0001042,15.276,490.1,94.3,"LEO"
"STARLINK-35483",66252,"Starlink",53.16,0.0001078,15.3437,469.9,93.8,"LEO"
"STARLINK-35833",66542,"Starlink",43,0.0001618,15.2759,490.2,94.3,"LEO"
"STARLINK-35847",66621,"Starlink",53.16,0.0001427,15.3442,469.8,93.8,"LEO"
"STARLINK-35849",66348,"Starlink",53.16,9.97e-05,15.344,469.8,93.8,"LEO"
"STARLINK-35967",66634,"Starlink",53.16,9.04e-05,15.3442,469.8,93.8,"LEO"
"STARLINK-3618",51998,"Starlink",53.16,0.0001118,15.3439,469.9,93.8,"LEO"
"STARLINK-36236",67078,"Starlink",70,0.0004589,14.9833,579.2,96.1,"LEO"
"STARLINK-36537",67516,"Starlink",43,0.000103,15.2759,490.2,94.3,"LEO"
"STARLINK-36538",67512,"Starlink",43,0.0001168,15.2758,490.2,94.3,"LEO"
"STARLINK-36710",67971,"Starlink",97.28,0.0001183,15.3345,472.7,93.9,"LEO"
"STARLINK-36720",67655,"Starlink",97.28,6.38e-05,15.3343,472.7,93.9,"LEO"
"STARLINK-36890",68258,"Starlink",53.16,0.0001427,15.344,469.8,93.8,"LEO"
"STARLINK-37142",68296,"Starlink",97.28,8.44e-05,15.3345,472.7,93.9,"LEO"
"STARLINK-37391",68779,"Starlink",97.29,0.0001135,15.3347,472.6,93.9,"LEO"
"STARLINK-37582",69363,"Starlink",53.16,0.0001222,15.3437,469.9,93.8,"LEO"
"STARLINK-3765",52295,"Starlink",53.16,6.64e-05,15.6778,372.4,91.8,"LEO"
"STARLINK-3770",52554,"Starlink",53.16,0.0001667,15.3062,481.1,94.1,"LEO"
"STARLINK-37788",69338,"Starlink",97.28,0.000101,15.3345,472.7,93.9,"LEO"
"STARLINK-37933",69532,"Starlink",53.16,9.25e-05,15.3441,469.8,93.8,"LEO"
"STARLINK-37936",69563,"Starlink",97.29,0.0001748,15.3345,472.7,93.9,"LEO"
"STARLINK-38037",69750,"Starlink",97.28,8.57e-05,15.3344,472.7,93.9,"LEO"
"STARLINK-38074",69741,"Starlink",97.28,0.0003475,15.3348,472.6,93.9,"LEO"
"STARLINK-4149",53290,"Starlink",53.22,0.0002675,15.1098,540.3,95.3,"LEO"
"STARLINK-4333",53088,"Starlink",97.28,0.0001451,15.1868,517,94.8,"LEO"
"STARLINK-4651",53729,"Starlink",53.16,0.0001333,15.354,466.9,93.8,"LEO"
"STARLINK-5181",54070,"Starlink",53.16,0.0001062,15.354,466.9,93.8,"LEO"
"STARLINK-5327",55291,"Starlink",70,0.0003316,14.9833,579.2,96.1,"LEO"
"STARLINK-5497",55629,"Starlink",70,0.000305,14.9834,579.2,96.1,"LEO"
"STARLINK-5520",57219,"Starlink",43,0.0001515,15.2757,490.2,94.3,"LEO"
"STARLINK-5575",55381,"Starlink",43,0.0001257,15.2758,490.2,94.3,"LEO"
"STARLINK-5666",55349,"Starlink",43,0.0001323,15.2758,490.2,94.3,"LEO"
"STARLINK-6136",56540,"Starlink",43,0.0001737,15.2758,490.2,94.3,"LEO"
"STARLINK-6296",56773,"Starlink",70,0.0003831,14.9833,579.2,96.1,"LEO"
