"title","year","length","budget","rating","votes","mpaa","genre","n_genres"
"Hidalgo",2004,136,78000000,6.6,7328,"PG-13","Action",2
"Hidden Agenda",2001,98,5000000,4.2,266,"R","Action",1
"Hidden Assassin",1995,89,11000000,4.4,245,"R","Action",2
"Hide and Seek",2005,101,30000000,5.2,3784,"R","Drama",1
"Hideaway",1995,106,15000000,5,1303,,"Other",0
"Hideous Kinky",1998,98,12000000,6.1,1615,"R","Drama",1
"High Fidelity",2000,113,20000000,7.6,29704,"R","Romance",3
"High Strung",1991,93,300000,6.2,391,"PG","Comedy",1
"Highlander II: The Quickening",1991,92,30000000,3.4,9264,"R","Action",1
"Highway to Hell",1992,94,9000000,5.3,423,,"Comedy",1
"History of the World: Part I",1981,97,11000000,6.4,5640,,"Comedy",1
"Hit and Runway",1999,108,1200000,6.7,189,"R","Comedy",1
"Hitch",2005,118,70000000,6.8,7554,,"Romance",2
"Hitcher, The",1986,97,6000000,6.8,4420,,"Action",2
"Hitchhiker's Guide to the Galaxy, The",2005,110,50000000,6.9,7644,"PG","Comedy",1
"Holes",2003,117,30000000,7.2,5235,"PG","Comedy",2
"Hollywood Ending",2002,112,16000000,6.3,3673,"PG-13","Comedy",2
"Hollywood Homicide",2003,116,75000000,5.2,5312,"PG-13","Action",2
"Hollywood North",2003,89,7000000,5.7,114,"R","Comedy",1
"Home Movies",1979,90,400000,4.6,103,,"Comedy",1
"Home at the End of the World, A",2004,96,6500000,6.5,1693,"R","Romance",2
"Home of Our Own, A",1993,104,12000000,6.5,398,,"Drama",1
"Home on the Range",2004,76,110000000,5.4,1510,"PG","Animation",2
"Hong faan kui",1996,91,7500000,6.5,4644,"R","Action",2
"Hope Floats",1998,114,30000000,5.3,4382,"PG-13","Romance",3
"Horse Whisperer, The",1998,170,60000000,6.4,6744,"PG-13","Romance",2
"Hotel New Hampshire, The",1984,109,7500000,5.8,2065,,"Comedy",2
"Hours, The",2002,114,25000000,7.6,16692,"PG-13","Drama",1
"House of 1000 Corpses",2003,88,7000000,5.1,6136,"R","Other",0
"House of Dark Shadows",1970,102,750000,5.7,328,,"Other",0
"House of Sand and Fog",2003,126,16000000,7.8,8164,"R","Drama",1
"House of Wax",2005,105,30000000,4.6,1298,"R","Other",0
"House of Yes, The",1997,85,1500000,6.5,2345,"R","Comedy",2
"House of the Dead",2003,90,7000000,2.3,3921,"R","Action",1
"House of the Long Shadows",1983,100,7500000,5.8,239,,"Comedy",1
"House on Sorority Row, The",1983,91,425000,5.2,187,,"Other",0
"House on Turk Street, The",2002,103,12000000,5.5,1048,"R","Drama",1
"How Harry Became a Tree",2001,99,6000000,6.7,115,"R","Drama",1
"How High",2001,95,12000000,4.9,2916,"R","Comedy",1
"How Stella Got Her Groove Back",1998,124,20000000,5,1475,"R","Romance",2
"How the Grinch Stole Christmas",2000,104,123000000,5.7,12680,"PG","Comedy",2
"How to Kill Your Neighbor's Dog",2000,107,7300000,7,907,"R","Comedy",2
"How to Lose a Guy in 10 Days",2003,116,50000000,6.1,9257,"PG-13","Romance",2
"Howard the Duck",1986,110,30000000,3.9,6582,,"Action",2
"Howling, The",1981,91,1000000,6.3,2546,,"Other",0
"Hudsucker Proxy, The",1994,111,25000000,7.4,12903,,"Romance",2
"Hunchback of Notre Dame, The",1996,91,70000000,6.5,6093,,"Animation",3
"Hungry Wives",1973,89,120000,4.6,202,,"Drama",1
"Hunt for Red October, The",1990,134,30000000,7.6,26666,,"Action",1
"Hurricane",1997,91,500000,6.6,424,"R","Drama",1
"Hurricane, The",1999,145,38000000,7.3,12445,"R","Drama",1
"Husbands and Wives",1992,108,20000000,7.4,3622,,"Comedy",2
"I Capture the Castle",2003,111,8000000,7,947,"R","Romance",2
"I Got the Hook Up",1998,93,3500000,3.2,412,"R","Comedy",1
"I Inside, The",2003,90,8800000,6,734,"R","Other",0
"I Know What You Did Last Summer",1997,99,17000000,5.3,15932,"R","Other",0
"I Married a Strange Person!",1997,74,250000,6.2,391,"R","Animation",3
"I Spy",2002,97,70000000,5.3,5521,"PG-13","Action",2
"I Wanna Hold Your Hand",1978,104,2700000,6.7,530,,"Comedy",1
"I'll Remember April",1999,90,1800000,6.2,222,,"Drama",1
"I'm with Lucy",2002,90,15000000,6.2,646,"R","Romance",2
"I, Robot",2004,115,105000000,7,22330,"PG-13","Action",1
"Ice Age",2002,81,60000000,7.3,22302,"PG","Animation",2
"Ice Cream Man",1995,84,2000000,4.2,349,"R","Comedy",1
"Ice Pirates, The",1984,91,9000000,4.9,1426,,"Action",2
"Ice Storm, The",1997,112,18000000,7.5,13115,"R","Drama",1
"Ideal Husband, An",1999,97,14000000,7,4584,"PG-13","Romance",2
"Impostor",2002,102,40000000,5.8,3292,"R","Action",2
"In & Out",1997,92,35000000,6.2,10352,"PG-13","Comedy",1
"In Crowd, The",2000,104,15000000,4,1342,"PG-13","Drama",1
"In This World",2002,88,1900000,7.8,815,"R","Drama",1
"In Too Deep",1999,95,7000000,5.8,978,,"Drama",1
"In the Company of Men",1997,97,25000,7.3,3618,"R","Comedy",1
"In the Cut",2003,119,12000000,5.1,4525,"R","Other",0
"In the Line of Fire",1993,138,40000000,7.3,12923,,"Drama",1
"In the Shadows",2001,105,10000000,4.8,268,"R","Drama",1
"In the Woods",1999,90,252000,1.9,256,,"Other",0
"Inchon",1981,140,46000000,3.3,131,,"Drama",1
"Incident at Loch Ness",2004,94,1400000,6.4,251,"PG-13","Comedy",1
"Incredibles, The",2004,121,92000000,8.3,30749,"PG","Animation",3
"Incredibly True Adventure of Two Girls in Love, The",1995,94,250000,6.5,795,"R","Romance",3
"Indecent Proposal",1993,117,38000000,5.3,7397,,"Romance",2
"Independence Day",1996,153,75000000,6.1,61831,"PG-13","Action",1
"Indiana Jones and the Temple of Doom",1984,118,28000000,7.2,34880,,"Action",1
"Inferno",1980,102,3000000,6.2,1245,,"Other",0
"Insider, The",1999,157,68000000,8,28780,"R","Drama",1
"Insomnia",2002,118,46000000,7.3,22235,"R","Drama",1
"Inspector Gadget",1999,78,75000000,4,5288,"PG","Action",2
"Instinct",1999,126,55000000,6.1,6298,"R","Drama",1
"Interiors",1978,93,10000000,7.1,1736,,"Drama",1
"Intermission",2003,102,5000000,6.4,1971,"R","Comedy",2
"Interpreter, The",2005,128,80000000,6.6,4678,"PG-13","Drama",1
"Interstate 60",2002,116,7000000,7.7,2495,"R","Comedy",2
"Interview with the Vampire: The Vampire Chronicles",1994,123,50000000,7.2,26698,,"Drama",1
"Into the Sun",2005,97,16000000,4,481,"R","Action",1
"Intolerable Cruelty",2003,100,60000000,6.6,11967,"PG-13","Romance",2
"Intruder",1989,83,100000,5.4,264,,"Other",0
"Invasion U.S.A.",1985,107,10000000,3.9,692,,"Action",1
"Invasions barbares, Les",2003,112,5000000,7.9,4900,"R","Comedy",2
"Iron Giant, The",1999,86,48000000,7.9,15151,"PG","Animation",1
"Ishtar",1987,107,40000000,3.7,3479,,"Comedy",1
"Island of Dr. Moreau, The",1977,99,6000000,5.4,620,,"Romance",1
"Island, The",1980,114,22000000,4.7,434,,"Other",0
"Isn't She Great",2000,95,36000000,4.8,688,"R","Romance",3
"It Came from Hollywood",1982,80,5000000,5.5,240,,"Documentary",2
"Jackal, The",1997,124,60000000,5.7,12753,"R","Other",0
"Jacket, The",2005,102,19000000,6.4,1564,"R","Other",0
"Jackie Brown",1997,154,12000000,7.5,28891,"R","Drama",1
"Jacob's Ladder",1990,115,25000000,7.3,8901,,"Drama",1
"Jakob the Liar",1999,120,15000000,5.9,2544,"PG-13","Comedy",2
"James and the Giant Peach",1996,79,38000000,6.6,3144,"PG","Animation",1
"Jason Goes to Hell: The Final Friday",1993,91,2500000,3.9,2651,,"Action",1
"Jason's Lyric",1994,119,7000000,6,445,,"Drama",1
"Jaws",1975,130,12000000,8.2,46978,,"Other",0
"Jaws 3-D",1983,99,20500000,3.2,5028,,"Action",1
"Jay and Silent Bob Strike Back",2001,104,22000000,6.9,24211,"R","Comedy",1
"Jeepers Creepers",2001,90,10000000,5.4,10973,"R","Drama",1
"Jeepers Creepers II",2003,104,25000000,5.2,4069,"R","Other",0
"Jerry Maguire",1996,139,50000000,7.3,34623,"R","Romance",3
"Jerry and Tom",1998,106,5000000,6.7,447,"R","Comedy",2
"Jersey Girl",2004,102,35000000,6.4,6853,"PG-13","Comedy",2
"Jesus",1979,117,6000000,5.9,316,,"Drama",1
"Jesus' Son",1999,107,2500000,6.9,2291,"R","Drama",1
"Jimmy Hollywood",1994,112,20000000,5.3,749,,"Comedy",2
"Jimmy Neutron: Boy Genius",2001,84,25000000,6,2280,,"Animation",2
"Jing wu men",1972,107,100000,6.7,1667,,"Action",2
"Jingle All the Way",1996,88,60000000,4.7,6246,"PG","Action",2
"Jisatsu saakuru",2002,99,250000,6.8,1311,"R","Other",0
"Johnson Family Vacation",2004,97,12000000,3.6,955,"PG-13","Comedy",1
"Jonah: A VeggieTales Movie",2002,82,15000000,6.2,810,,"Animation",2
"Jonathan Livingston Seagull",1973,120,1500000,4.6,250,,"Drama",1
"Josh and S.A.M.",1993,89,18000000,5.2,281,,"Comedy",2
"Josie and the Pussycats",2001,98,22000000,5.2,4508,"PG-13","Comedy",1
"Journey of Jared Price, The",2000,96,30000,5.8,155,,"Drama",1
"Joy Ride",2001,97,23000000,6.6,8132,"R","Other",0
"Judge Dredd",1995,96,90000000,4.6,9979,"R","Action",1
"Jui kuen II",1994,99,2000000,7.5,4628,"R","Action",2
"Julie Walking Home",2002,118,5000000,7.3,190,"R","Romance",2
"Jumanji",1995,104,65000000,6,14874,"PG","Action",2
"Jungle Fever",1991,132,14000000,6.4,2829,,"Romance",2
"Jurassic Park",1993,127,63000000,7.4,57473,,"Action",1
"Juror, The",1996,118,44000000,5.3,2920,"R","Drama",1
"Just Looking",1999,97,3000000,6.2,436,"R","Comedy",1
"Just Visiting",2001,93,40000000,5.6,2212,,"Comedy",1
"K-PAX",2001,120,48000000,7.2,17235,"PG-13","Drama",1
"Kafka",1991,92,11000000,6.9,1751,,"Drama",1
"Kagemusha",1980,162,6000000,7.9,3536,,"Drama",1
"Kama Sutra: A Tale of Love",1996,114,3000000,5.5,1491,"R","Romance",2
"Kangaroo Jack",2003,89,60000000,3.9,3661,"PG","Comedy",1
"Karakter",1997,122,4500000,7.7,2687,"R","Drama",1
"Kate & Leopold",2001,123,48000000,6.3,8060,"PG-13","Romance",2
"Keep, The",1983,96,6000000,5.4,1217,,"Other",0
"Keeping the Faith",2000,128,30000000,6.8,11351,"PG-13","Romance",3
"Kentucky Fried Movie, The",1977,90,600000,6.4,3756,,"Comedy",1
"Kid, The",2000,104,65000000,6.1,5418,"PG","Comedy",2
"Kids Are Alright, The",1979,101,2000000,7.6,753,,"Documentary",1
"Kill Bill: Vol. 1",2003,111,55000000,8.3,65026,"R","Action",2
"Kill Bill: Vol. 2",2004,136,30000000,8.3,44189,"R","Action",2
"Killer Eye, The",1999,72,400000,2.2,210,"R","Other",0
"Killers",1996,90,100000,6.3,219,,"Other",0
"Killers",1997,86,100000,2.8,127,"R","Action",1
"King Arthur",2004,140,90000000,6,14272,"R","Action",2
"King Kong",1976,134,24000000,5.3,3181,,"Romance",2
"King Solomon's Mines",1985,100,12500000,4.4,1662,,"Action",2
"King of Comedy, The",1983,109,20000000,7.5,6189,,"Comedy",2
"King of the Hill",1993,109,8000000,7.4,1233,,"Drama",1
"Kingdom of the Spiders",1977,97,500000,5.4,484,,"Other",0
"Kinsey",2004,118,11000000,7.6,3225,"R","Drama",1
"Kiss of the Dragon",2001,98,25000000,6.2,7887,"R","Action",2
"Kiss or Kill",1997,96,2000000,6.2,590,"R","Other",0
"Kiss the Sky",1999,107,6000000,5.6,263,"R","Romance",1
"Kissing Jessica Stein",2001,97,1000000,7,4236,"R","Romance",2
"Klansman, The",1974,112,5000000,4.3,130,,"Action",2
"Knight's Tale, A",2001,132,41000000,6.5,15006,"PG-13","Action",2
"Knock Off",1998,91,35000000,3.8,1947,"R","Action",1
"Kontroll",2003,107,500000,7.8,1174,"R","Other",0
"Krasnaya palatka",1971,121,10000000,5.9,202,,"Other",0
"Kruimeltje",1999,119,5000000,6.7,224,,"Drama",1
"Krush Groove",1985,97,3000000,5.5,253,,"Drama",1
"Kundun",1997,128,28000000,7.1,4306,"PG-13","Drama",1
"Kung Pow: Enter the Fist",2002,82,10000000,5.1,5871,"PG-13","Action",2
"Lady in White",1988,112,4700000,6.7,656,,"Other",0
"Ladyhawke",1985,121,20000000,6.8,7090,,"Romance",1
"Ladykillers, The",2004,104,35000000,6.4,10580,"R","Comedy",1
"Lake Placid",1999,82,27000000,5.2,7836,"R","Action",2
"Lara Croft Tomb Raider: The Cradle of Life",2003,117,90000000,5.2,9103,"PG-13","Action",1
"Lara Croft: Tomb Raider",2001,100,80000000,5.2,21861,"PG-13","Action",1
"Last Action Hero",1993,130,60000000,5.4,15266,,"Action",2
"Last Castle, The",2001,131,60000000,6.4,7233,"R","Action",2
"Last Chase, The",1981,101,4900000,4.3,147,,"Other",0
"Last Emperor, The",1987,219,25000000,7.7,9507,,"Drama",1
"Last Horror Movie, The",2003,80,780000,5.2,409,"R","Other",0
"Last House on the Left, The",1972,85,87000,5.5,2522,,"Other",0
"Last Man Standing",1996,101,67000000,5.7,6751,"R","Action",2
"Last Orders",2001,109,12000000,7.1,1583,"R","Drama",1
"Last Patrol, The",2000,95,8200000,2.9,236,"PG-13","Action",2
"Last Picture Show, The",1971,118,1300000,8,5340,"R","Drama",1
"Last Samurai, The",2003,154,100000000,7.9,31668,"R","Action",2
"Last Seduction, The",1994,110,2500000,7.2,4157,,"Drama",1
"Last Starfighter, The",1984,101,15000000,6.2,4890,,"Action",2
"Last Temptation of Christ, The",1988,164,7000000,7.5,8074,,"Drama",1
"Last Time I Committed Suicide, The",1997,92,4000000,5.3,530,"R","Drama",1
"Last of the Mohicans, The",1992,117,40000000,7.5,15293,,"Romance",2
"Lawnmower Man, The",1992,140,10000000,5,5799,,"Action",1
"Laws of Attraction",2004,90,28000000,5.7,2349,"PG-13","Romance",2
"Laws of Gravity",1992,100,38000,6.5,283,,"Drama",1
"League of Extraordinary Gentlemen, The",2003,110,78000000,5.4,15647,"PG-13","Action",1
"League of Their Own, A",1992,128,40000000,6.9,14318,,"Comedy",2
"Leather Jacket Love Story",1997,85,67000,6.1,110,,"Romance",2
"Leaving Las Vegas",1995,111,4000000,7.5,18027,"R","Romance",2
"Legend of Bagger Vance, The",2000,126,60000000,6.4,7123,"PG-13","Romance",3
"Legend of Boggy Creek, The",1973,85,100000,4.3,273,,"Drama",1
"Legend of the Mummy",1997,96,2000000,2.4,257,"R","Other",0
"Legends of the Fall",1994,133,30000000,6.7,13327,,"Romance",2
"Legion of the Dead",2001,92,2700000,3.4,374,"R","Comedy",1
"Legionnaire",1998,98,35000000,4.5,1773,"R","Action",1
"Lengua asesina, La",1996,98,4000000,4,244,"R","Comedy",1
"Leprechaun",1993,92,900000,3.6,2288,,"Comedy",1
"Lethal Weapon 4",1998,127,140000000,6.3,17758,"R","Action",2
"Levity",2003,100,7500000,6.4,1459,"R","Drama",1
"Liar Liar",1997,86,45000000,6.5,22969,"PG-13","Comedy",1
"Life Aquatic with Steve Zissou, The",2004,118,25000000,7.3,9170,"R","Comedy",2
"Life of David Gale, The",2003,130,50000000,7.1,10580,"R","Drama",1
"Lifeforce",1985,101,25000000,5.6,2071,,"Other",0
"Light Sleeper",1992,103,5000000,6.8,742,,"Drama",1
"Lightning Over Water",1980,116,700000,6.7,132,,"Documentary",2
"Like Mike",2002,99,30000000,4.9,1484,"PG","Comedy",1
"Limey, The",1999,89,9000000,7.2,7732,"R","Drama",1
"Lion King, The",1994,89,79300000,7.8,32924,,"Animation",2
"Lionheart",1990,105,2500000,5.1,2123,,"Action",1
"Lithivm",1998,127,500000,3.3,117,,"Other",0
"Little Black Book",2004,111,35000000,4.7,1894,"PG-13","Romance",3
"Little Nicky",2000,90,80000000,4.9,9485,"PG-13","Romance",2
"Little Odessa",1994,98,2300000,6.5,1222,,"Drama",1
"Little Secrets",2001,97,2500000,6.9,457,"PG","Drama",1
"Little Vampire, The",2000,91,22000000,5.6,601,"PG","Comedy",1
"Live and Let Die",1973,121,7000000,6.6,8022,,"Action",1
"Living Daylights, The",1987,130,30000000,6.4,7495,,"Action",1
"Living Out Loud",1998,103,12000000,6.5,1774,"R","Romance",3
"Lizzie McGuire Movie, The",2003,94,17000000,5,2541,"PG","Comedy",1
"Loaded Weapon 1",1993,84,13000000,5.4,6485,,"Action",2
"Logan's Run",1976,120,9000000,6.5,5441,,"Action",1
"Lone Wolf McQuade",1983,105,5000000,5.4,721,,"Action",2
"Long Riders, The",1980,99,10000000,7,1190,,"Other",0
"Looney Tunes: Back in Action",2003,91,80000000,6.1,2559,"PG","Animation",3
"Lord of the Rings, The",1978,132,8000000,5.8,5734,,"Animation",1
"Lord of the Rings: The Fellowship of the Ring, The",2001,208,93000000,8.8,157608,"PG-13","Action",1
"Lord of the Rings: The Two Towers, The",2002,223,94000000,8.8,114797,"PG-13","Action",1
"Loser",2000,92,20000000,5.1,5152,"PG-13","Romance",2
"Losin' It",1983,100,7000000,4.5,645,,"Comedy",1
"Losing Isaiah",1995,111,17000000,6.1,794,"R","Drama",1
"Loss of Sexual Innocence, The",1999,106,4000000,5.3,977,"R","Drama",1
"Lost Highway",1997,135,15000000,7.3,15936,"R","Drama",1
"Lost Horizon",1973,150,12000000,4.4,436,,"Romance",2
"Lost Souls",2000,97,28000000,4.6,3423,"R","Other",0
"Lost in Space",1998,130,80000000,4.7,15209,"PG-13","Action",1
"Lost in Translation",2003,102,4000000,8,42450,"R","Comedy",2
"Love & Basketball",2000,124,15000000,6.7,2093,"PG-13","Romance",2
"Love Letter, The",1999,88,15000000,5.2,1258,"PG-13","Comedy",2
"Love Letters",1984,98,550000,6.1,158,,"Other",0
"Love Liza",2002,90,1000000,6.6,1588,"R","Drama",1
"Love Object",2003,88,1000000,6.3,427,"R","Comedy",1
"Love Stinks",1999,94,4000000,5.3,1311,"R","Comedy",1
"Love Story",1970,99,2200000,6.2,2844,"PG","Romance",2
"Love and Death",1975,85,3000000,7.6,4193,,"Comedy",1
"Love and Other Catastrophes",1996,78,250000,6.5,783,"R","Romance",2
"Lovely & Amazing",2001,91,250000,6.9,1813,"R","Comedy",2
"Lover Girl",1997,87,1000000,5.3,102,"R","Comedy",2
"Lucky 13",2004,95,1200000,5.7,151,"R","Romance",2
"Lucky Break",2001,108,6000000,6.3,707,"PG-13","Comedy",1
"Lucky Lady",1975,118,13000000,4.6,231,,"Comedy",2
"Luminarias",2000,100,1000000,2.7,381,"R","Romance",2
"Lunatics: A Love Story",1991,87,850000,5.4,135,,"Romance",3
"Lunes al sol, Los",2002,113,4000000,7.8,1466,"R","Drama",1
"Lurking Fear",1994,76,1000000,4.2,124,,"Other",0
"M.D.C. - Maschera di cera",1997,98,3000000,5.2,272,,"Other",0
"MASH",1970,112,3500000,7.8,14829,"R","Comedy",2
"Machuca",2004,121,1500000,8.4,449,,"Drama",1
"Macon County Line",1974,89,225000,6.2,124,,"Action",2
"Mad Max",1979,93,350000,6.8,11542,,"Action",1
"Madadayo",1993,134,11900000,7.4,554,,"Drama",1
"Made",2001,94,5000000,6.5,4487,"R","Comedy",2
"Madhouse",2004,91,3000000,5.4,389,"R","Other",0
"Magnolia",1999,188,37000000,8,45992,"R","Drama",1
"Maid in Manhattan",2002,105,55000000,4.6,12237,"PG-13","Romance",2
"Majestic, The",2001,156,72000000,6.7,8649,"PG","Romance",2
"Major League",1989,107,11000000,6.7,8078,,"Comedy",1
"Malcolm X",1992,202,34000000,7.5,6873,,"Drama",1
"Malibu Express",1985,105,500000,3.9,154,,"Action",1
"Malibu's Most Wanted",2003,86,16000000,4.9,2099,"PG-13","Comedy",1
"Mame",1974,132,12000000,4.8,524,,"Other",0
"Man Who Wasn't There, The",2001,118,20000000,7.7,17028,"R","Comedy",2
"Man Who Would Be King, The",1975,129,8000000,7.9,8035,,"Other",0
"Man Woman Film",1999,95,35000,3.8,234,,"Other",0
"Man from Elysian Fields, The",2001,106,6500000,6.8,1198,"R","Drama",1
"Man on the Moon",1999,118,52000000,7.3,19826,"R","Comedy",2
"Man's Best Friend",1993,95,6000000,4.4,511,,"Other",0
"Man-Thing",2005,96,30000000,3.8,163,"R","Action",1
"Manhattan Baby",1982,89,300000,4,196,,"Other",0
"Manhattan Murder Mystery",1993,104,13500000,7.3,5044,,"Comedy",1
"Manhunter",1986,124,15000000,7.2,7272,,"Drama",1
"Maniac Cop",1988,85,1100000,5,709,,"Action",1
"Maniac Cop 2",1990,90,4000000,4.4,360,,"Action",1
"Manito",2002,79,24000,7.2,145,,"Drama",1
"Manitou, The",1978,104,3000000,3.7,216,,"Other",0
"Mannequin: On the Move",1991,95,13000000,2.9,1235,,"Romance",2
"Manny & Lo",1996,88,500000,6.9,395,"R","Drama",1
"Maquinista, El",2004,102,5000000,7.7,4322,"R","Drama",1
"March or Die",1977,104,9000000,5.7,325,,"Romance",2
"Marci X",2003,80,20000000,2.8,741,"R","Comedy",1
"Mariachi, El",1992,81,220000,7,6817,,"Action",1
"Mars",1998,91,4500000,3.3,156,,"Action",1
"Mars Attacks!",1996,106,70000000,6.1,27363,"PG-13","Action",2
"Martin",1977,95,800000,6.9,847,,"Drama",1
"Martin Lawrence Live: Runteldat",2002,113,3000000,4.6,504,"R","Documentary",2
"Mask, The",1994,97,18000000,6.4,21533,,"Action",2
"Master and Commander: The Far Side of the World",2003,138,150000000,7.5,21328,"PG-13","Action",2
"Master of Disguise, The",2002,80,16000000,2.9,3903,"PG","Comedy",1
"Matewan",1987,132,4000000,7.6,1877,,"Drama",1
"Matrix Reloaded, The",2003,138,127000000,7.1,57225,"R","Action",1
"Matrix, The",1999,136,63000000,8.5,143853,"R","Action",1
"Max Keeble's Big Move",2001,86,12000000,5.3,587,"PG","Comedy",1
"Maximum Overdrive",1986,97,10000000,4.3,3050,,"Other",0
"Me, Myself & Irene",2000,116,51000000,6,21305,"R","Comedy",1
"Mean Girls",2004,97,17000000,7,11591,"PG-13","Comedy",2
"Mean Streets",1973,107,150000,7.5,8008,,"Drama",1
"Meaning of Life, The",1983,112,9000000,7.3,12351,,"Comedy",1
"Medallion, The",2003,88,41000000,4.5,2765,"PG-13","Action",2
"Medicine Man",1992,106,40000000,5.7,4190,,"Romance",1
"Meet Joe Black",1998,178,90000000,6.6,16796,"PG-13","Romance",2
"Meet the Deedles",1998,93,24000000,3.4,443,"PG","Comedy",1
"Meet the Fockers",2004,115,80000000,6.5,11950,"PG-13","Comedy",1
"Men in Black",1997,98,90000000,6.8,53231,"PG-13","Action",2
"Men in Black II",2002,88,140000000,5.6,21580,"PG-13","Action",2
"Men of Honor",2000,129,32000000,6.6,9684,"R","Drama",1
"Men of War",1994,99,12000000,4.6,397,"R","Action",2
"Men with Brooms",2002,102,7500000,5.9,1096,"R","Romance",3
"Menace II Society",1993,97,3500000,7.3,4704,"R","Action",2
"Meng long guojiang",1972,90,130000,6.6,1775,,"Action",1
"Merchant of Venice, The",2004,138,30000000,7.3,1400,"R","Comedy",2
"Mercy Streets",2000,106,600000,4.6,149,"PG-13","Action",2
"Mesmerized",1986,94,5654930,4.7,147,,"Drama",1
"Message in a Bottle",1999,126,30000000,5.4,5582,"PG-13","Romance",2
"Message, The",1976,177,10000000,7.5,743,,"Drama",1
"Meteor",1979,107,16000000,4.5,1116,,"Drama",1
"Metoroporisu",2001,107,14500000,7.3,3380,"PG-13","Animation",4
"Metro",1997,117,55000000,5.2,3560,"R","Action",3
"Mexican, The",2001,123,38000000,6,13935,"R","Romance",2
"Michael Collins",1996,133,25000000,6.8,5009,,"Drama",1
"Michael Moore Hates America",2004,125,200000,4.2,629,"R","Documentary",1
"Midnight Clear, A",1992,107,5000000,7.5,2147,,"Drama",1
"Midnight Run",1988,126,30000000,7.5,9196,,"Action",2
"Mighty Aphrodite",1995,95,15000000,7,7083,"R","Comedy",1
"Mighty Joe Young",1998,114,49000000,5.6,2873,"PG","Other",0
"Miller's Crossing",1990,115,14000000,8,14575,,"Drama",1
"Million Dollar Baby",2004,132,30000000,8.3,20195,"PG-13","Drama",1
"Million Dollar Hotel, The",2000,122,8000000,5.5,4746,"R","Drama",1
"Mindhunters",2004,102,27000000,6.3,3925,"R","Action",1
"Minion, The",1998,95,12000000,3.2,338,"R","Action",1
"Minnie and Moskowitz",1971,114,900000,7,287,,"Romance",3
"Miracle Mile",1988,87,3000000,6.8,1086,,"Romance",2
"Mirror Has Two Faces, The",1996,122,42000000,5.7,2775,"PG-13","Romance",3
"Misadventures of Margaret, The",1998,80,5000000,5.4,217,,"Romance",2
"Misery",1990,107,20000000,7.5,13120,,"Drama",1
"Mission to Mars",2000,113,90000000,4.9,15018,,"Drama",1
"Mission: Impossible",1996,110,75000000,6.6,33496,"PG-13","Action",1
"Mississippi Burning",1988,128,15000000,7.6,8084,,"Drama",1
"Mo' Better Blues",1990,130,10000000,6.1,1408,,"Drama",1
"Modern Vampires",1998,91,2000000,4.1,700,"R","Other",0
"Modigliani",2004,128,12000000,7,155,"R","Drama",1
"Molly Maguires, The",1970,124,11000000,6.6,455,"PG","Drama",1
"Mommie Dearest",1981,129,5000000,6.2,1696,,"Drama",1
"Mona Lisa Smile",2003,117,65000000,6.1,6838,"PG-13","Romance",3
"Money Pit, The",1986,91,10000000,5.6,6392,,"Comedy",1
"Money Train",1995,103,68000000,5.1,5081,"R","Action",3
"Monkey Shines",1988,113,7000000,5.8,834,,"Other",0
"Monkeybone",2001,92,75000000,4.7,3112,"PG-13","Animation",2
"Monsieur Klein",1976,123,3500000,7.3,390,,"Drama",1
"Monsters, Inc.",2001,92,115000000,8,38712,,"Animation",2
"Montana",1998,92,4000000,6.1,417,"R","Action",2
"Moonlight Mile",2002,117,20000000,6.9,3479,"PG-13","Romance",2
"Moonraker",1979,126,34000000,5.9,9318,,"Action",2
"More American Graffiti",1979,110,3000000,4.6,624,,"Comedy",1
"Mortal Kombat: Annihilation",1997,91,30000000,3,5799,"PG-13","Action",1
"Mosquito",1995,92,200000,3.3,312,"R","Other",0
"Mosquito Coast, The",1986,117,16000000,6.4,4643,,"Drama",1
"Motel Hell",1980,102,3000000,5.2,791,,"Comedy",1
"Mother's Day",1980,98,150000,4.6,487,,"Comedy",1
"Mothman Prophecies, The",2002,119,42000000,6.5,11073,"PG-13","Other",0
"Ms. 45",1981,81,62000,6.3,500,,"Drama",1
"Much Ado About Nothing",1993,111,8000000,7.5,12491,,"Romance",2
"Mudge Boy, The",2003,94,800000,6.8,204,"R","Drama",1
"Mulan",1998,88,70000000,7.2,11192,,"Animation",2
"Multiple Maniacs",1970,90,5000,6.6,238,,"Comedy",1
"Multiplicity",1996,117,45000000,5.7,5241,"PG-13","Comedy",1
"Mumford",1999,112,28000000,6.9,3384,"R","Comedy",2
"Mummy Returns, The",2001,130,98000000,6.1,23551,"PG-13","Action",1
"Murder by Numbers",2002,120,50000000,6,8358,"R","Other",0
"Murders in the Rue Morgue",1971,87,700000,4.9,137,"PG-13","Other",0
"Muse, The",1999,97,15000000,5.6,3513,"PG-13","Comedy",1
"Music of the Heart",1999,124,27000000,6.6,2348,"PG","Drama",1
"Musketeer, The",2001,104,40000000,4.4,3966,"PG-13","Action",3
"Mute Witness",1994,95,2000000,6.8,1202,"R","Comedy",1
"My Best Friend's Wedding",1997,105,46000000,6.4,16648,"PG-13","Romance",2
"My Big Fat Greek Wedding",2002,95,5000000,6.9,21675,"PG","Romance",2
"My Boss's Daughter",2003,90,14000000,4.1,2765,"R","Romance",2
"My Cousin Vinny",1992,120,11000000,7.2,10877,"R","Comedy",1
